"id","name","sub_title","preparation_method","nut_recommend","comment","minutes","meal_types","ingredients"
"181","אגוזי מלך מצופים בקינמון ומייפל","","בקערה לערבב אגוזי מלך, שמן קוקוס ומייפל.\r\nלהוסיף וניל וקינמון ולערבב היטב עד שכל אגוזי המלך מצופים.\r\nלחמם זמן במחבת באש נמוכה - בינונית. להוסיף את אגוזי המלך ולערבב המשך 3-4 דקות או עד שהאגוזים קלויים קצת ומפיצים ניחוח. \r\nלהוריד את המחבת מהאש ולאפשר לאגוזים להתקרר.  ","","מנה חושבה לפי 50 גרם. ","20","נשנוש","אגוז מלך, וניל, סירופ מייפל, קוקוס, קינמון"
"182","סלט טונה - אבוקדו","","בקערה גדולה למעוך אבוקדו בעזרת גב מזלג. \r\nלהוסיף את הטונה, סלרי, בצל אדום, תפוח ואגוזי מלך לקערה. \r\nלהוסיף לימון, חרדל דיז\'ון, כמון, מלח ופלפל. לערבב הכל היטב. \r\nלהגיש את הממרח על לחם, סלט או לאכול ככה. \r\n\r\n","","נשמר עד שבוע במקרר.\r\nמנה חושב לפי  150 גרם. \r\nהערכים חושבו ללא תוספת מלח ופלפל.\r\n","10","ארוחת ערב, תוספת, סלטים","אבוקדו, אגוז מלך, בצל, גבעול סלרי, זרעי חרדל, טונה, כמון, לימון, סלרי, כרפס, פלפל, שחור, תפוח עץ"
"183","תבשיל תפוח אדמה - עגבניות ","","לחתוך את תפוחי האדמה לקוביות בגודל 1.5 ס\"מ. \r\nלנגב ולייבש את תפוחי האדמה.\r\nלחתוך את העגבנייה לקוביות לקוביות בגודל 1.5 ס\"מ. \r\nלחמם מחבת בינונית עם שמן על אש בינונית - גבוהה. להוסיף את זרעי הכמון ולבשלם 5 עד 10 דקות או עד שהם משנים צבעם ומפיצים ריח. \r\nלהוסיף תפוחי אדמה, בצל, כורכום ולטגן אותם 4-6 דק או עד שהבצל ותפוח האדמה משחימים מעט בקצוות. \r\nלהוסיף מלח וצ\'ילי אדום קצוץ. \r\nלהוסיף כוס מים אחת עד לרתיחה. להוריד את האש לחום נמוך-בינוני, לכסות במכסה ולהמשיך לבשל תוך ערבוב מדיי פעם, עד שתפוחי האדמה רכים מאוד, כ- 18-20 דקות. \r\nלהוסיף את העגבניות והכורכום ולכסות את המחבת, לתת לתבשיל להתבשל במשך 2 דקות. לערבב מדיי פעם. ","","","45","ארוחת צהריים, ארוחת ערב","בצל, כורכמין (E100), כמון, עגבנייה, פלפל, שחור, צ\'ילי קאיין, תפוח אדמה"
"184","לחם כוסמין ","","לשים את החומרים בקערת מיקסר מלבד המים ולערבל.\r\nלהוסיף מים בהדרגתיות עד לקבלת בצק יציב. \r\nלכסות את הקערה בניילון נצמד ובמגבת ולתת לבצק לתפוח במשך שעה.\r\nמוציאים את הבצק מהקערה ומביאים לתבנית אינגליש קייק מרופדת בנייר אפייה. \r\nמכסים את תבנית האינגליש קייק ונותנים לבצק לתפוח שוב במשך חצי שעה. \r\nמחממים תנור מראש ל-200 מעלות. \r\nאופים את הלחם בתנור במשך 35-40 דקות או עד שמשחים. \r\nכאשר הלחם מוכן להוציא ולצנן על רשת במשך 15 דקות. ","","פרוסה חושבה לפי 80 גרם. ","20","תוספת","גלוטן, גרעיני דלעת, זית, חיטה, כוסמין, שמרים"
"185","מרק עדשים ובטטות","","לשטוף את העדשים היטב ולהניח אותם בסיר גדול עם 8 כוסות מים. \r\nלקלף ולשטוף את הבטטות לקוביות בגודל 2-2.5 ס\"מ ולהוסיף אותן לסיר. \r\nלקצוץ את הבצל ולמעוך את השום ולהוסיף אותם לסיר. \r\nלהוסיף את כל התיבול, רוטב העגבניות ולערבב הכל היטב.\r\nלהביא את המרק לרתיחה ולהוריד את האש לאש נמוכה. לכסות את הסיר במכסה ולהשאיר פתח קטן כדי שהאדים ייצאו. \r\nלבשל את המרק במשך 20-30 דקות או עד שהבטטות והעדשים רכות אבל לא רכות מדיי. לערבב מדיי פעם תוך כדי הבישול. \r\nלהוסיף בסוף הבישול את מיץ הלימון ומלח במידת הצורך. \r\n","","","60","ארוחת צהריים, ארוחת ערב, מרקים","בטטה, בצל, כמון, לימון, עגבנייה, עדשים, פלפל, שחור, צ\'ילי הברינו, צ\'ילי הלופיניו, צ\'ילי קאיין, שום"
"187","ברוקולי ושעועית ירוקה בסילאן וחומץ בלסמי","","מחממים תנור מראש ל-180 מעלות צלזיוס. \r\nמניחים את השעועית והברוקולי בתבנית המתאימה לאפייה.\r\nמוסיפים לתבנית חוצץ בלסמי, שמן, סילאן, שום כתוש, מלח ופלפל ומערבבים היטב .\r\nמכניסים את התבנית לתנור ואופים כ-50 דקות או עד שהשעועית והברוקולי מוכנים. \r\nמפזרים אגוזי לוז מעל ומגישים. ","המנה עשירה בשומן צמחי חד בלתי רווי אשר ידוע בתכונת הורדת ה LDL ללא פגיעה ב HDL.\r\nבמנה אחת יש 178 מ\"ג סידן!! \r\nבמנה אחת יש 3 מ\"ג ברזל, כ 16% מהקצובה המומלצת לנשים וכ 37% מהקצובה המומלצת לגברים. ","מנה חושבה לפי 200 גרם .","50","נשנוש, תוספת, סלטים","אגוז לוז, ברוקולי, ענב / צימוק, פלפל, שחור, שום, שעועית ירוקה, תמר"
"188","סלט צנונית אביבי","","לשטוף את הצנונית ולחתוך את השורשים. לקצוץ היטב. \r\nלשטוף את הפטרוזיליה ולייבשה בעדינות. לקצוץ את הפטרוזיליה דק. \r\nלהניח בקערה את הצנונית והפטרוזיליה. \r\nלהוסיף את מיץ הלימון, מלח ופלפל ולערבב היטב.\r\nלהוסיף שמן זית ולערבב בשנית.\r\nלטעום את הסלט ולהוסיף תיבול לפי הטעם. ","","החישובים בוצעו ללא מלח ופלפל. \r\nמנה חושבה לפי 100 גרם. ","20","סלטים","זית, לימון, פטרוזיליה, פלפל, שחור, צנון אדום, צנון לבן"
"189","כרובית קארי צלויה","","לחמם תנור מראש ל - 220 מעלות. \r\nלהכין תבנית אפייה עם נייר אפייה. \r\nלערבב היטב בקערה גדולה שום, מיץ לימון, שמן זית, אבקת קארי, קינמון, מלח ופלפל.\r\nלהוסיף את פרחי הכרובית והבצל לקערה ולערבב היטב עד שהכרובית מצופה. \r\nלפזר את הכרובית והבצל על גבי נייר האפייה בשכבה אחת . \r\nלצלות את הכרובית בתנור במשך 25 עד 30 דקות או עד שהכרובית משחימה. ","","","35","תוספת","אבקת קארי, בצל, זית, כרובית, לימון, פלפל, שחור, קינמון, שום"
"190","סלסת תירס","","לקצוץ את הבצל דק.\r\nלהוציא את הזרעים ולקצוץ את החלפיניו. \r\nלקצוץ את הכוסברה. \r\nלערבב את כל החומרים בקערה ולהגיש. ","","","20","תוספת, סלטים","אורגנו, בצל, כוסברה, כמון, לימון, צ\'ילי הלופיניו, תירס, תירס מתוק"
"191","סלט אורוגולה עם סלק וגבינת עיזים","","להכין את רוטב הויניגרט: לשים את רכיבי הרוטב (שמן זית, מיץ לימון, חרדל, סוכר, מלח ופלפל שחור) לצנצנת ולערבב היטב. לטעום ולתקן לפי הטעם. \r\nלחתוך את הסלק לחתיכות בינוניות ולהניח בקערה. \r\nלהוסיף לקערה את האורוגלה, גבינת עזים, אגוזי המלך, הרוטב ולערבב היטב. \r\n","","","15","סלטים","אגוז מלך, זית, זרעי חרדל, לימון, סלק, עיזים: חלב וגבינה, פלפל, שחור, קנה סוכר"
"192","סלט שעועית מקסיקני","","למלא חצי מגובה סיר בינוני במים מלוחים ולהביא לרתיחה. \r\nלחתוך את השעועית הירוקה לחצאים ולהניח בסיר עם המים. לבשל במשך 5 דקות או עד שהשעועית מתרככת.\r\nלסנן את השעועית ממים ולייבש אותה. להניח את השעועית בקערה ולהוסיף את השעועית הלבנה ואת השעועית השחורה. \r\nלהוסיף לקערה את שמן הזית ולערבב את הכל. \r\nלהוסיף לקערה בצל, פלפל חלפיניו, שום וגבינת עזים. \r\nבצנצנת לערבב היטב מיץ לימון וסוכר עד שהסוכר מתמוסס. להוסיף לסלט ולערבב היטב. \r\nלתת לכל המיקס לשבת כשעה. להוסיף כוסברה לפני הגשה. ","","","30","סלטים","בצל, זית, כוסברה, לימון, עיזים: חלב וגבינה, צ\'ילי הלופיניו, קנה סוכר, שום, שעועית ירוקה"
"193","סלט קינואה עם מלפפון ונענע","","להכין את הקינואה לפי הוראות ההכנה. \r\nלתת לקינואה להתקרר לטמפרטורת החדר. \r\nלחתוך את המלפפונים לחתיכות בגודל 1 ס\"מ. \r\nכשהקינואה קרה להוסיף לה את המלפפונים, נענע ובצל ירוק. \r\nלפזר מעל חומץ אורז, שמן זית ומלח. \r\n\r\n","","","30","סלטים","אורז, בצל, זית, מלפפון, מנטה, נענע, קינואה, קנה סוכר"
"194","סלט טאבולה כרובית ","","לחתוך את הכרובית ולשים במעבד מזון. ללחוץ על pulse עד שמתקבל מרקם של אורז. \r\nלהניח את הכרובית בקערה גדולה ולהוסיף את מיץ הלימון. לערבב היטב. \r\nלהוסיף את השמן זית, פטרוזיליה, בצל ירוק, עגבניות, מלח ופלפל שחור. לערבב היטב.\r\nלטעום ולהוסיף מלח ופלפל לפי הטעם. ","","","35","סלטים","בצל, זית, כרובית, לימון, עגבנייה, פטרוזיליה, פלפל, שחור"
"195","סלט ברוקולי קייצי עם סלסת מנגו","","לחתוך את הברוקולי לפרחים ולשים אותם בכלי עמוד לחום ולכסות את הברוקולי במים רותחים. להניח בצד ל-2 דקות, לסנן ולקרר את הברוקולי מתחת לזרם מים קרים. לייבש. \r\nלחתוך את הקצה העצי של האספרגוס ולאחר כך לחתוך את האספרגוס לחצאים ולהוסיף לקערת הברוקולי. \r\nלהוסיף לקערה את עלי הרוקט, האבוקדו והמלח.\r\nבקערה קטנה לשים מנגו, צ\'ילי, כוסברה, שמן וחומץ בן יין ולהוסיף את הכל לקערה הגדולה. לערבב היטב. \r\n","","","20","ארוחת צהריים, ארוחת ערב, תוספת, סלטים","אבוקדו, אספרגוס, בצל, ברוקולי, זית, כוסברה, מנגו, צ\'ילי הברינו, צ\'ילי הלופיניו, צ\'ילי קאיין, קנה סוכר, רוקט"
"196","סלט מנגולד ועדשים ","","להכין את העדשים כפי שכתוב על האריזה ולשים בקערה. \r\nלקצוץ את עלי הסלק (מנגולד) ללא החלק הלבן ולהוסיף לקערה. \r\nלחתוך את הפלפל האדום לרצועות ולהוסיף לקערה. \r\nלחתוך את הבצל לרצועות דקות ולהוסיף לקערה.\r\nלחתוך את הנקטרינה לחצאי ירח ולהוסיף לקערה.\r\nלהכנת הרוטב: לשים בצנצנת מלח, שמן זית, חומץ בן יין, חרדל דיז\'ון ומעט סוכר חום. לערבב היטב.\r\nלהוסיף לקערה את הרוטב ולערבב היטב. ","","","15","ארוחת צהריים, ארוחת ערב, תוספת, סלטים","בצל, זית, זרעי חרדל, נקטרינה, סלק, עלי סלק, עדשים, פלפל, קנה סוכר"
"197","סלט בקר תאילנדי","","לשים את הסטייק בקערה נמוכה. להוסיף שמן זית ורוטב סויה ולהספיג אותם בבשר. להניח בצד את המרינדה בזמן שמכינים את שאר הדברים. \r\nלקלף את הגזר. באמצעות הקולפן לחתוך חתיכות דקות מהגזר. \r\nלהפריד את עלי החסה, לרחוץ ולייבש. לחתוך את החסה.\r\nלחתוך את הבצלים לרצועות. \r\nלחתוך את המנגו לרצועות דקות. \r\nלהניח את כל הירקות החתוכים בקערה. \r\nלחמם מחבת טיגון גדולה, להוסיף את הסטייק ולבשל כל צד במשך דקה או שתיים או כמידת העשייה הרצויה. להוריד את הסטייק מהמחבת ולהניח על צלחת בצד למנוחה. \r\nלהכין את הרוטב: לשים בצנצנת את השום הכתוש, מיץ לימון, סוכר וצ\'ילי ולערבב היטב. לשפוך את הרוטב על הירקות החתוכים ולהוסיף את הבוטנים. \r\nלחתוך את הסטייק לרצועות דקות, להוסיף לקערה עם הסלט ולערבב היטב. ","","","35","ארוחת צהריים, ארוחת ערב","בוטן, בצל, בשר בקר, גזר, גלוטן, חסה אייסברג, לימון, מנגו, פולי סויה, צ\'ילי הברינו, צ\'ילי הלופיניו, צ\'ילי קאיין, קנה סוכר, שום"
"198","סלט שעועית ","","לשים את כל רכיבי הסלט בקערה ולערבב היטב.\r\nלערבב את רכיבי הרוטב בצנצנת.\r\nלשפוך את הרוטב על הסלט, לתבל עם מלח ופלפל שחור ולערבב היטב. \r\n","","","30","סלטים","בצל, גבעול סלרי, זית, זרעי חרדל, עגבנייה, עירית, פטרוזיליה, קנה סוכר, שעועית מש "
"199","שיפודי טלה ובטטה","","לקלף ולחתוך את הבטטות לקוביות בגודל 3 ס\"מ. \r\nלבשל את הבטטה במים רותחים במשך 4-5 דקות או עד שהבטטות כמעט רכות לחלוטין. להוציא את הבטטות ולייבש אותן. \r\nלשים בקערה שמן, שום ורוזמרין. להוסיף את הטלה לתערובת ולערבב היטב עד שהבשר עטוף ברוטב. \r\nלקלף את הבצל ולחתוך אותו לרצועות גדולות. \r\nלשפד את הבשר, בטטות והבצל. \r\nלחמם מחבת ברביקיו בחום בינוני- גבוהה ולבשל את השיפודים מכל צד בערך 6-8 דקות או עד שמידת העשייה לרצונך. ","","","35","ארוחת צהריים, ארוחת ערב","בטטה, בצל, זית, טלה, רוזמרין, שום"
"200","טורטייה טבעונית ","","בקערה גדולה, לערבב קמח ומלח. \r\nלהוסיף לקערה מים ושמן באופן הדרגתי. \r\nעל משטח מקומח ללוש את הבצק 10-12 פעמים ולהוסיף קמח או מים כדי להגיע למרקם הרצוי - בצק חלק. לתת לבצק לנוח במשך 10 דקות. \r\nלחלק את הבצק ל-8 חתיכות עגולות שוות. \r\nעל משטח מקומח לשטח את עיגולי הבצק לטורטיות שטוחות בקוטר 18 ס\"מ בערך. \r\nלחמם מחבת טפלון עם ספריי שמן ולבשל את הטורטיות על חום בינוני במשך שקה לכל צד או עד שהבצק משחים מעט. \r\n ","","יחידה חושבה לפי 75 גרם","30","ארוחת בוקר, ארוחת צהריים, ארוחת ערב, תוספת","גלוטן, זית, חיטה"
"201","שיפודי סלומון","","בקערה מערבבים: שמן זית, פפריקה, מלח, שום ופלפל ומורחים על קוביות הסלומון.\r\nמוסיפים את קוביות הסלומון ומערבבים על שהן מצופות בבלילה. \r\nצולים את הסלומון כ 1-2 דק\' על מחבת פסים חמה. \r\nכאשר הסלומון מבושל משחילים אותו על שיפוד ובין כל חתיכה שמים עגבנית שרי, מוצרלה ובזיליקום.\r\nמזלפים שמן בלסמי על כל השיפודים. ","דג סלומון, הינו מקור טוב לאומגה 3 החיוני לגופנו. ומנה (220 גרם) מספקת  מעל ל 100% מהצריכה היומית של ויטמין 12B  המומלצת לגברים ונשים מבוגרים.\r\nארגון ה FDA האמריקאי ממליץ על צריכה של 2-3 מנות דג (בניהן סלומון כבחירה מובילה) לנשים בהריון, מניקות ולילדים. \r\nשים לב שהמנה מכילה כמות נתרן (מלח) גבוה ועל כן - אל תמליח/י את המנה לפני שטעמת אותה.","מנה חושבה לפי 280 גרם .","30","ארוחת צהריים, ארוחת ערב","בזיליקום, ריחן, זית, חלב ( פרה), מוצרי חלב (פרה) - לא להשתמש!, סלומון, עגבנייה, ענב / צימוק, פלפל, שחור, פפריקה, תבלין, שום"
"202","סלומון פסטו","","מחממים תנור ל 220 מעלות.\r\nעל נייר כסף מניחים את הסלומון ומוסיפים כף של ממרח פסטו. \r\nמצידי הסלומון מניחים עגבניות שרי.\r\nמפזרים מעל כל סלומון שן שום.\r\nמכניסים לתנור ל 20 ק\'.  \r\n","דג סלומון, הינו מקור טוב לאומגה 3 החיוני לגופנו. ומנה (220 גרם) מספקת  כ 80% מהצריכה היומית של ויטמין 12B  המומלצת לגברים ונשים מבוגרים.\r\nארגון ה FDA האמריקאי ממליץ על צריכה של 2-3 מנות דג (בניהן סלומון כבחירה מובילה) לנשים בהריון, מניקות ולילדים. \r\n","מנה חושבה לפי 220 גרם. ","30","ארוחת צהריים, ארוחת ערב","בזיליקום, ריחן, סלומון, עגבנייה, צנובר, שום"
"203","מאפיינס ברוקולי","","מחממים תנור ל 220 מעלות. \r\nחולטים את הברוקולי במים רותחים למשך 5-6 דק\' עד שניתן למעוך אותו קלות במזלג. \r\nמסננים את הברוקולי ומניחים בקערה.\r\nמוסיפים לקערה את שאר המרכיבים ומערבבים. \r\nמכניסים לתבנית מאפינס מסיליקון ואופים למשך 18-20 דק\'. ","","יחידה חושבה לפי 20 גרם. ","35","ארוחת בוקר, ארוחת צהריים, ארוחת ערב, תוספת","ביצי תרנגולות (חלבון וחלמון), בצל, ברוקולי, גלוטן, חלבון הביצה, חלב ( פרה), חלמון הביצה, פלפל, שחור"
"204","ממרח קשיו","","בבלנדר או מעבד מזון מערבבים את כל המצרכים עד לקבלת עיסה חלקה. ","שים/י לב כי הערכים המוצגים הן לכף!!","מנה חושבה לפי כף- כ 15 גרם. ","15","נשנוש, תוספת, סלטים","בזיליקום, ריחן, זית, לימון, פולי סויה, קשיו, שום"
"205","ממרח אגוזים","","בבלנדר או מעבד מזון מערבבים את כל החומרים ביחד עד לקבלת תערובת אחידה","שים/י לב כי הערכים המוצגים הן לכפית!!","מנה חושבה לפי כפית - כ 5 גרם. ","15","נשנוש, תוספת, סלטים","אגוז מלך, זית, פלפל, שחור, שום"
"206","ממרח זיתים שחורים","","בבלנדר או מעבד מזון מערבבים את כל המרכיבים עד לקבלת תערובות אחידה במרקם משחה","שים/י לב כי הערכים המוצגים הן לכפית!!","מנה חושבה לפי כפית - כ 5 גרם. ","15","נשנוש, תוספת, סלטים","בזיליקום, ריחן, זית, שום, תימין , קורנית"
"207","ארטיק שוקו-שוקו","","במיקסר מקציפים שמנת, חלב, פודינג וניל ושוקולד עד לקבלת תערובות אחידה. \r\nממשיכים להקציף עוד מספר דקות לקרם סמיך. \r\nשופכים לתבניות קאו כוסות חד  ומקפיאים למשך 4-6 שעות.","ביחידה אחת יש כ 100 מ\"ג סידן. \r\n","יחידה חושבה לפי 80 גרם","10","נשנוש, קינוחים","חלב ( פרה), פולי קקאו"
"208","ארטיק תותי-פרוטי","","ממיסים את הסוכר עם מים חמים עד שהוא נמס לחלוטין.\r\nמוסיפים מית לימון ומערבבים. \r\nבמג\'ימיקס (מעבד מזון) טוחנים תותים, יוגורט ואת מי הסוכר עד לקבלת מחית חלקה.\r\nמחלקים את המחית לכוסות חד פעמיות או תבניות ארטיק ומקפיאים למשך 4-6 שעות. \r\n","","","10","נשנוש, קינוחים","חלב ( פרה), לימון, קנה סוכר, תות שדה"
"209","ארטיק תותי-פרוטי","","ממיסים את הסוכר עם מים חמים עד שהוא נמס לחלוטין.\r\nמוסיפים מית לימון ומערבבים. \r\nבמג\'ימיקס (מעבד מזון) טוחנים תותים, יוגורט ואת מי הסוכר עד לקבלת מחית חלקה.\r\nמחלקים את המחית לכוסות חד פעמיות או תבניות ארטיק ומקפיאים למשך 4-6 שעות. \r\n","","","10","נשנוש, קינוחים","לימון, עיזים: חלב וגבינה, קנה סוכר, תות שדה"
"210","ארטיק קרח פירות ","","חותכים קיווי ותוח לקוביות קטנות. \r\nמפזרים בכוסות חד פעמיות או בתבניות ארטיק עד לחצי הגובה. \r\nממלאים את הכוס עם סודה ומניחים מקל באמצע. \r\nמקפיאים למשך 6-8 שעות. \r\n","ארטיק להכנה ביתים קליל וטעים. \r\nדל בקלוריות.\r\nיכול להחליף את מנת הפרי בתפריט. \r\n","יחידה חושבה לפי 200 גרם","10","נשנוש, קינוחים","קיוי, תות שדה"
"211","סורבה מנגו פסיפלורה","","ממיסים את הסוכר במים חמים עד שהוא נמס לחלוטין. \r\nבמג\'מיקס (מעבד מזון) טוחנים את כל הרכיבים כולל מי הסוכר עד לקבלת מחית . \r\nמעבירים לכוסות חד פעמיות או לתבניות ארטיק. \r\nמקפיאים למשך 4-6 שעות. ","ארטיק להכנה ביתים קליל וטעים. \r\nדל בקלוריות.\r\nיכול להחליף את מנת הפרי בתפריט. \r\n","יחידה חושבה לפי 65 גרם","15","נשנוש, קינוחים","מנגו, קנה סוכר, תפוז"
"212","שווארמת טופו","","להוציא את הטופו מהאריזה ולסחוט אותו היטב להוצאת מים. \r\nלהניח את הטופו עטוף במגבת ומעל הכל סיר כבד למשך כשעה להוצאת המים העודפים. \r\nלחתוך את הטופו לרצועות דקות ולפורר לתוך קערה בינונית.\r\nלהוסיף לקערה: שמן, שום, מיץ לימונים ותבלינים. לערבב היטב ולתת לתערובת לנוח שעה במקרר.\r\nלחמם תנור ל-200 מעלות. לפזר את הטופו על גבי מגש עם נייר אפייה. \r\nלאפות במשך 20 דקות, לערבב ולהמשיך לאפות ל-10 דקות נוספות. \r\n","","","120","ארוחת צהריים, ארוחת ערב","זית, כורכמין (E100), כמון, לימון, פולי סויה, פלפל, שחור, פפריקה, תבלין, צ\'ילי קאיין, קינמון, שום"
"213","רולים ויאטנמים קיציים","","משרים את אטריות השעועית בקערה עם מים קרים למשך 30 דק\',מסננים. שים/י לב להוראות היצרן- יש אטריות שעועית ששופכים עליהן מים רותחים ל 10 שניות.\r\nמניחים מגבת על השיש שתשמש כמשטח עבודה. \r\nטובלים דף אורז אחד בקערה עם מים קרים ומניחים על מגבת. \r\nמניחים על השליש הראשון של דף האורז את המילוי (ירקות, נענע, עירית, אטריות וכו\') , לפי טעמכם ומגלגלים.\r\nמכינים את הרוטב לרולים: מערבבים מים,  שום, מיץ לימון, רוטב סויה, ג\'ינג\'ר. ","בהתאם לבדיקת אי הסבילות שלך, שחק/י עם המילוי של הרולים- יש מקום להרבה יצרתיות . ","","10","ארוחת צהריים, ארוחת ערב","אורז, גזר, ג\'ינג\'ר, זנגביל, לימון, מלפפון, מנטה, נענע, עירית, פולי סויה, פלפל, שום, שעועית ירוקה"
"214","פסטה קישואים -לימון","","מבשלים את הפסטה עד שמכונה, מסננים.\r\nבמחבת מחממים שמן זית ומוסיפים שום וקישואים. מבשלים למשך 10 דק\', עד שהקישואים פריכים. \r\nבקערה מערבבים את הפסטה עם הקישואים, מוסיפים מיץ וגרידת לימון.\r\n","בהתאם לבדיקת אי הסבילות שלך ניתן להגיש את המנה עם גבינת פרמזן. ","","20","ארוחת צהריים, ארוחת ערב","זית, חיטה, לימון, קישוא, שום"
"215","צ\'יזיקי מרענן ","","בקערה מערבבים יוגורט עם שום כתוש, קוביות מלפפון ושמיר קצוץ. \r\nמתבלים בפלפל.","","","15","ארוחת ערב, נשנוש, תוספת, סלטים","חלב ( פרה), מוצרי חלב (פרה) - לא להשתמש!, מלפפון, פלפל, שחור, שום, שמיר"
"216","מרק גספצ\'יו קר ","","טוחנים יחד את כל המרכיבים ומסננים.\r\nמוסיפים את שמן הזית תוך כדי ערבוב.","","","15","ארוחת צהריים, ארוחת ערב, תוספת, מרקים","זית, עגבנייה, פלפל, קנה סוכר, תימין , קורנית"
"217","סלט פתיתים , סויה ותרד","","מבשלים את פולי הסויה ומחלצים את הפולים מתרמיליהם ומניחים בקערה. \r\nמבשלים פתיתים (לפי הוראות היצרן) ומעבירים לקערת הסויה. \r\nבמחבת, מאדים עלי תרד עם שמן זית, עד אשר הם מאבדים את נפחם (דקה בערך) ומעבירים לקערה. \r\nמערבבים את רכיבי הרוטב(סויה, יין וחומץ) בקערה נפרדת ויוצקים על הסלט. ","","","15","ארוחת צהריים, ארוחת ערב, סלטים","אורז, זית, חיטה, ענב / צימוק, פולי סויה, תרד"
"218","חציל ועגבנייה","","מחממים את התנור ל-140 מעלות.\r\nחותכים את החציל לאורך ל-3 חלקים ובכל פרוסה חורצים חריצים עמוקים. \r\nמניחים את החצילים בתבנית עם נייר אפיה. \r\nמורחים שמן על זית החציל, מפזרים מעט מלח גס ואופים כ 40 דק\'. \r\nלאחר שהחצילים יצאו מהתנור קוצצים עירית ועגבניות ומפזרים. ","","","60","תוספת, סלטים","זית, חציל , עגבנייה, עירית"
"219","ירקות מבושלים במחבת ","","חותכים את הירקות לקוביות, קולפים בהתאם לצורך. \r\nבמחבת מחממים שמן זית, מניחים את הירקות, מכסים במכסה ומבשלים בערך 20 דק\' (מידי פעם מערבבים). \r\nמוסיפים את הרוטב (סילאן וסויה) , מערבבים ומבשלים עוד 10 דק\' עד שהירקות רכים. ","","","20","תוספת","בצל, ברוקולי, גזר, זית, פולי סויה, פטריות יער, פלפל, קישוא, תמר"
"220","ירקות מבושלים במחבת ","","חותכים את הירקות לקוביות, קולפים בהתאם לצורך. \r\nבמחבת מחממים שמן זית, מניחים את הירקות, מכסים במכסה ומבשלים בערך 20 דק\' (מידי פעם מערבבים). \r\nמוסיפים את הרוטב (סילאן וסויה) , מערבבים ומבשלים עוד 10 דק\' עד שהירקות רכים. ","","","20","תוספת","בצל, גזר, זית, כרובית, פולי סויה, פטריות יער, קישוא, תמר, תפוח אדמה"
"221","אורז מלא עם עדשים","","בסיר מאדים את הבצל עם 2 כפות שמן זית, מוסיפים שום, גזר וגמבה ומבשלים לעוד 5 דק\'. \r\nמוסיפים אורז ועדשים, מתבלים בכורכום, מלח ופלפל. \r\nמוסיפים מים רותחים, מערבבים, מביאים לרתיחה. \r\nמנמיכים את הלהבה לאש קטנה, מכסים את הסיר ומבשלים למשך 40 דק\'. \r\nבסיום, משאירים את הסיר סגור למשך 10 דק\' ורק אז פותחים. ","","","20","ארוחת צהריים, ארוחת ערב, תוספת, סלטים","אורז, בצל, גזר, עדשים, פלפל, שום"
"222","ארטיק שוקולד ביתי","","במיקסר מקציפים : שמנת מתוקה, חלב, אינסטנט פודינג וניל ושוקולית. מקציפים למשך 5 דק\' עד לקבלת קרם יציב.\r\nמעבירים את הקרם לכוסות חד פעמיות או מתקן לארטיקים ונועצים מקל. \r\nמקפיאים למשך 2 שעות. \r\n","","","120","תוספת, קינוחים","חלב ( פרה), פולי קקאו"
"223","עוגת גבינה ללא גלוטן","","מחממים תנור ל 160 מעלות.\r\nבמיקסר מקציפים ביצים עם סוכר וסוכר וניל עד קבלת קצף יציב ותפוח, לפחות 5 דק\'.\r\nמוסיפים את הגבינות ומערבבים בעדינות. \r\nמוסיפים את האינסטנט פודינג והקורנפלור ומערבבים בעדינות.\r\nמעבירים את הקציפה לתבנית 24 ס\"מ, משומנת ומישרים את השכבה העליונה. \r\nאופים שעה עד שהעוגה שחומה. ","","","90","קינוחים","ביצי תרנגולות (חלבון וחלמון), וניל, חלבון הביצה, חלב ( פרה), חלמון הביצה, קנה סוכר, תפוח אדמה"
"224","מאפה בצק במילוי פטל","","מחממים תנור ל 160 מעלות. \r\nבקערה מערבבים קמח, אבקת אפייה וסוכר. מוסיפים חלב וחמאה ומערבבים היטב. \r\nמוסיפים את הפטל ומערבבים בעדינות. \r\nמעבירים את התערבות לתבנית אפיה משומנת או ל 7 תבניות אישיות משומנות. \r\nאופים במשך 30 דק\' עד שהלמעלה שחום. \r\n","","","35","קינוחים","אגוז מוסקט, חיטה, חלב ( פרה), פטל, קנה סוכר"
"225","שיפודי עוף ורוזמרין","","בקערה מערבבים את כל החומרים מלבד העוף. \r\nמוסיפים את העוף, מערבבים היטב!\r\nשומרים במקרר למשך 6 שעות או לילה.\r\nמחממים מחבת פסים, משחילים כל 4-5 קוביות עוף על שיפוד. \r\nצולים למשך 4-5 דק\' מכל צד.","שים לב לתכולת הנתרן במנה (850 מ\"ג) - על כן לפני שממליחים - טועמים!\r\nבמנה אחת יש כ 0.5 מק\"ג B12, כ 20% מהקצובה היומית המומלצת מעל גיל 13. ","מנה חושבה לפי 130 גרם","30","ארוחת צהריים, ארוחת ערב","זית, זרעי חרדל, לימון, עוף, פולי סויה, פלפל, שחור, רוזמרין, שום"
